hw,lab,quiz,final,total
90,83,100,93,91.15
98,101,100,85,96.15
96.5,101.5,100,81,95
88.5,100,93.33,79,90.78
99,101,73.33,86,89.93
35.5,69,53.33,0,41.13
100,100.5,86.67,84,92.82
72.5,58,46.67,0,43.57
94,96,40,67,74.35
79,61.5,33.33,37,51.83
85,92.5,80,77,84
97,98.5,93.33,85,93.53
99,101,100,100,100.1
94.5,99,80,83,89.35
90.5,96,46.67,76,77.57
79,97,80,66,81.4
34,31.5,33.33,0,24.58
48.5,66.5,40,52,52.65
89,97,53.33,69,77.48
96,99.5,73.33,59,82.13
88.5,99,93.33,78,90.23
72,88.5,80,71,78.7
73,89.5,66.67,75,76.87
53.5,88.5,100,54,75.75
39,24,0,0,15
87,88,80,90,86.3
80.5,96,100,81,90.15
29.5,64,33.33,54,46.93
93.5,99.5,100,77,92.8
